price_change_percent_signed,product_id,product_name,curr_price,curr_scrape_date,prev_price,prev_scrape_date,listing_url,source
+158.26%,14565337-14397646,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14397646/14565337/PRADA/,ITALIST
+158.26%,14558494-14390803,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14390803/14558494/PRADA/,ITALIST
+158.26%,14557360-14389669,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14389669/14557360/PRADA/,ITALIST
+158.26%,14565337-14397646,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14397646/14565337/PRADA/,ITALIST
+158.26%,14558494-14390803,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14390803/14558494/PRADA/,ITALIST
+158.26%,14557360-14389669,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14389669/14557360/PRADA/,ITALIST
-57.86%,14699240-14531549,BLACK RE-NYLON BEAUTY CASE,421.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/BLACK-RE-NYLON-BEAUTY-CASE/14531549/14699240/PRADA/,ITALIST
+295.90%,14696885-14529194,SHOULDER BAG,3955.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14529194/14696885/PRADA/,ITALIST
+275.48%,14696866-14529175,BLACK LEATHER CLEO SHOULDER BAG,3751.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-CLEO-SHOULDER-BAG/14529175/14696866/PRADA/,ITALIST
+373.27%,14696865-14529174,BROWN SUEDE PRADA BUCKLE LARGE HANDBAG,4728.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BROWN-SUEDE-PRADA-BUCKLE-LARGE-HANDBAG/14529174/14696865/PRADA/,ITALIST
+334.13%,14687555-14519864,PRINTED LEATHER MINI GALLERIA HANDBAG,4337.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PRINTED-LEATHER-MINI-GALLERIA-HANDBAG/14519864/14687555/PRADA/,ITALIST
+17.52%,14687437-14519746,SHOULDER BAG,1174.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAG/14519746/14687437/PRADA/,ITALIST
+119.12%,14679027-14511336,LIGHT GREY LEATHER ARQUÃ¨ HANDBAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LIGHT-GREY-LEATHER-ARQUA-HANDBAG/14511336/14679027/PRADA/,ITALIST
+216.82%,14679026-14511335,BROWN SUEDE LARGE SHOULDER BAG,3165.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BROWN-SUEDE-LARGE-SHOULDER-BAG/14511335/14679026/PRADA/,ITALIST
+75.08%,14670757-14503066,BLACK NYLON SMALL BACKPACK,1749.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BACKPACKS/BLACK-NYLON-SMALL-BACKPACK/14503066/14670757/PRADA/,ITALIST
+89.79%,14664354-14496663,CARAMEL LEATHER RE-EDITION 1978 BUCKET BAG,1896.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-RE-EDITION-1978-BUCKET-BAG/14496663/14664354/PRADA/,ITALIST
+119.12%,14664353-14496662,BLACK NAPPA LEATHER MINI BUCKET BAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-NAPPA-LEATHER-MINI-BUCKET-BAG/14496662/14664353/PRADA/,ITALIST
+216.82%,14664352-14496661,BLACK LEATHER BUCKET BAG,3165.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-BUCKET-BAG/14496661/14664352/PRADA/,ITALIST
+236.44%,14650505-14482814,LOGO MEDIUM TOTE BAG,3361.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LOGO-MEDIUM-TOTE-BAG/14482814/14650505/PRADA/,ITALIST
+119.12%,14650492-14482801,CARAMEL LEATHER CROSSBODY BAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14482801/14650492/PRADA/,ITALIST
+153.95%,14645226-14477535,SHOULDER BAG,2537.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14477535/14645226/PRADA/,ITALIST
+177.78%,14628287-14460596,LIGHT PINK LEATHER CROSSBODY BAG,2775.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/LIGHT-PINK-LEATHER-CROSSBODY-BAG/14460596/14628287/PRADA/,ITALIST
+109.31%,14625136-14457445,CARAMEL LEATHER CROSSBODY BAG,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14457445/14625136/PRADA/,ITALIST
+177.78%,14625132-14457441,GREY LEATHER CROSSBODY BAG,2775.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/GREY-LEATHER-CROSSBODY-BAG/14457441/14625132/PRADA/,ITALIST
+109.31%,14625131-14457440,CARAMEL LEATHER MINI PRADA RE-EDITION SHOULDER BAG,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-MINI-PRADA-RE-EDITION-SHOULDER-BAG/14457440/14625131/PRADA/,ITALIST
+109.31%,14625130-14457439,BLACK LEATHER MINI PRADA RE-EDITION SHOULDER BAG,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-MINI-PRADA-RE-EDITION-SHOULDER-BAG/14457439/14625130/PRADA/,ITALIST
+119.12%,14625129-14457438,PASTEL YELLOW LEATHER ARQUÃ¨ HANDBAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PASTEL-YELLOW-LEATHER-ARQUA-HANDBAG/14457438/14625129/PRADA/,ITALIST
+324.42%,14597352-14429661,BLACK LEATHER SHOPPING BAG,4240.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-SHOPPING-BAG/14429661/14597352/PRADA/,ITALIST
+177.78%,14573761-14406070,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,2775.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-LARGE-SYMBOLE-SHOPPING-BAG/14406070/14573761/PRADA/,ITALIST
+119.12%,14572513-14404822,CARAMEL LEATHER CROSSBODY BAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14404822/14572513/PRADA/,ITALIST
+295.90%,14568709-14401018,SHOULDER BAG,3955.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14401018/14568709/PRADA/,ITALIST
+399.10%,14568707-14401016,BELTED HANDBAG,4986.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BELTED-HANDBAG/14401016/14568707/PRADA/,ITALIST
+246.15%,14565352-14397661,CARAMEL LEATHER SHOPPING BAG,3458.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-SHOPPING-BAG/14397661/14565352/PRADA/,ITALIST
+285.29%,14565351-14397660,CARAMEL LEATHER SHOPPING BAG,3849.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-SHOPPING-BAG/14397660/14565351/PRADA/,ITALIST
+109.31%,14565350-14397659,RAFFIA CROSSBODY BAG,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/RAFFIA-CROSSBODY-BAG/14397659/14565350/PRADA/,ITALIST
+109.31%,14565349-14397658,BLACK RAFFIA CROSSBODY BAG,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-RAFFIA-CROSSBODY-BAG/14397658/14565349/PRADA/,ITALIST
+197.30%,14565340-14397649,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,2970.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-LARGE-SYMBOLE-SHOPPING-BAG/14397649/14565340/PRADA/,ITALIST
+177.78%,14565339-14397648,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,2775.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-LARGE-SYMBOLE-SHOPPING-BAG/14397648/14565339/PRADA/,ITALIST
+94.69%,14565338-14397647,EMBROIDERED FABRIC MICRO SYMBOLE HANDBAG,1945.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-MICRO-SYMBOLE-HANDBAG/14397647/14565338/PRADA/,ITALIST
+158.26%,14565337-14397646,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14397646/14565337/PRADA/,ITALIST
+158.26%,14558494-14390803,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14390803/14558494/PRADA/,ITALIST
+158.26%,14557360-14389669,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14389669/14557360/PRADA/,ITALIST
+151.35%,14554718-14387027,CAPPUCCINO LEATHER SHOULDER BAG,2511.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CAPPUCCINO-LEATHER-SHOULDER-BAG/14387027/14554718/PRADA/,ITALIST
+119.12%,14551812-14384121,BLACK LEATHER CROSSBODY BAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-CROSSBODY-BAG/14384121/14551812/PRADA/,ITALIST
+119.12%,14533201-14365510,BLACK LEATHER CROSSBODY BAG,2189.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-CROSSBODY-BAG/14365510/14533201/PRADA/,ITALIST
+70.27%,14517370-14349679,MIDNIGHT BLUE RE-NYLON LARGE RE-EDITION 1978 SHOPPING BAG,1701.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/MIDNIGHT-BLUE-RE-NYLON-LARGE-RE-EDITION-1978-SHOPPING-BAG/14349679/14517370/PRADA/,ITALIST
+158.26%,14517368-14349677,WHITE LEATHER CLEO SHOULDER BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/WHITE-LEATHER-CLEO-SHOULDER-BAG/14349677/14517368/PRADA/,ITALIST
+187.49%,14517365-14349674,SAND LEATHER SMALL PANIER HANDBAG,2872.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/SAND-LEATHER-SMALL-PANIER-HANDBAG/14349674/14517365/PRADA/,ITALIST
+109.31%,14463824-14296133,BLACK LEATHER CROSSBODY BAG,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-CROSSBODY-BAG/14296133/14463824/PRADA/,ITALIST
+145.95%,14455300-14287609,RE-EDITION 1978 RE-NYLON AND SAFFIANO LARGE BLACK TOP CASE,2457.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/RE-EDITION-1978-RE-NYLON-AND-SAFFIANO-LARGE-BLACK-TOP-CASE/14287609/14455300/PRADA/,ITALIST
+138.64%,14445396-14277705,LIGHT PINK LEATHER SHOULDER BAG,2384.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LIGHT-PINK-LEATHER-SHOULDER-BAG/14277705/14445396/PRADA/,ITALIST
+70.27%,14385668-14217977,MUD RE-NYLON LARGE RE-EDITION 1978 SHOPPING BAG,1701.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/MUD-RE-NYLON-LARGE-RE-EDITION-1978-SHOPPING-BAG/14217977/14385668/PRADA/,ITALIST
+116.52%,14633205-14465514,LEATHER CROSSBODY MEDIUM BAG,2163.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/LEATHER-CROSSBODY-MEDIUM-BAG/14465514/14633205/PRADA/,ITALIST
+248.05%,14627108-14459417,PRADA BUCKLE SMALL LEATHER BAG,3477.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PRADA-BUCKLE-SMALL-LEATHER-BAG/14459417/14627108/PRADA/,ITALIST
+298.60%,14627105-14459414,PRADA BUCKLE LEATHER BAG,3982.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PRADA-BUCKLE-LEATHER-BAG/14459414/14627105/PRADA/,ITALIST
+109.31%,14602957-14435266,TOTE,2091.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14435266/14602957/PRADA/,ITALIST
+236.44%,14602956-14435265,TOTE,3361.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14435265/14602956/PRADA/,ITALIST
+55.56%,14602953-14435262,BACKPACK,1554.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BACKPACKS/BACKPACK/14435262/14602953/PRADA/,ITALIST
+11.61%,14602941-14435250,SHOULDER BAG,1115.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14435250/14602941/PRADA/,ITALIST
+126.63%,14586701-14419010,PRADA ARQUÉ LEATHER SHOULDER BAG,2264.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/PRADA-ARQUE-LEATHER-SHOULDER-BAG/14419010/14586701/PRADA/,ITALIST
+89.79%,14566061-14398370,TOTE,1896.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14398370/14566061/PRADA/,ITALIST
+324.42%,14628464-14460773,CARAMEL LEATHER SHOPPING BAG,4240.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-SHOPPING-BAG/14460773/14628464/PRADA/,ITALIST
+158.26%,14609462-14441771,CLEO SHOULDER BAG,2580.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CLEO-SHOULDER-BAG/14441771/14609462/PRADA/,ITALIST
+11.61%,14598217-14430526,CALF LEATHER POUCH,1115.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/CALF-LEATHER-POUCH/14430526/14598217/PRADA/,ITALIST
+310.11%,14544713-14377022,CARAMEL LEATHER MEDIUM PRADA BUCKLE HANDBAG,4097.0,2024-10-26,999.0,2024-10-23,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-MEDIUM-PRADA-BUCKLE-HANDBAG/14377022/14544713/PRADA/,ITALIST
